sample_id,chr2_DMR_182,chr17_DMR_544,chr17_DMR_735,chr19_DMR_21
GSE80417_9806233018_R06C01,-1.43612727173942,1.29614693403366,-3.93599006716875,1.25177172875608
GSE80417_9828653080_R06C01,-2.04126484000523,1.51039187243636,-3.79076970213753,1.22886920730906
GSE80417_9980102021_R06C02,-1.8930667384294,0.934449057495488,-3.98826741680786,1.08706103980396
GSE80417_9806233024_R04C02,-0.728689906223972,2.50620696316726,-3.91974037457728,0.283233503633635
GSE80417_9980102014_R05C01,-1.71944373352536,2.42825566290649,-3.80964538796421,0.58486713668101
GSE147221_200379120066_R03C02,-2.13676546468613,0.918131847797186,-4.01331843971145,1.45356744213777
GSE84727_101103430156_R06C02,-1.60754806250406,0.714861858141208,-3.85925960397914,0.710047076294168
GSE147221_200049730104_R04C01,-1.85237498128928,1.34837951760118,-3.90013079765218,0.945471215168741
GSE147221_200379120008_R03C01,-1.52901248941576,0.986365667784606,-3.98909323546573,1.14742776690012
GSE84727_3998634014_R03C01,-0.908911093041724,1.24663672676833,-3.94188045786876,0.82124100449776
GSE152027_10005839110_R06C02,-1.88528878060468,0.796843740574065,-3.90825188727039,1.15321041356457
GSE84727_3998634001_R04C02,-2.02150348372259,1.26645502248018,-3.9219967800369,1.10370979006408
GSE84727_3998568011_R05C01,-2.53030183914691,0.979450914677389,-4.01001191139407,1.37806281531765
GSE84727_101103430018_R02C01,-1.19688906238702,1.3773915848624,-3.97099193608568,1.01087040616231
GSE80417_9829119225_R05C02,-2.45977586404306,0.752531657723549,-4.0413328822167,1.12539695591048
GSE80417_9971851152_R06C02,-2.08211844976511,1.5442685867946,-3.88864710635655,0.992783094595602
GSE80417_9806233007_R04C01,-1.80214207119213,1.80088149131963,-3.79857129556678,0.881243270721826
GSE152027_3999078076_R06C01,-1.19948823757514,2.12985403908552,-4.12684342737452,1.15134605381479
GSE84727_3999356048_R02C01,-1.32834113865402,0.363804144289229,-3.99657207719611,0.870569601280391
GSE84727_101103430168_R05C02,-2.20869513539269,0.461165549773747,-3.90376071252594,0.851464818721425
GSE80417_9829119260_R02C02,-2.20640327846768,0.717294215912089,-3.87479314566669,1.35184072812228
GSE152027_3999078032_R05C02,-1.23878989152285,2.01890313977274,-3.92815403462735,0.836041234052426
GSE80417_9992571030_R04C02,-1.39653441946317,0.894033228063975,-4.06952098206111,0.25167256669684
GSE152027_3999078077_R03C02,-1.87878397392177,0.445480300347411,-3.97245927056581,1.13787032066364
GSE80417_9829119225_R04C02,-1.88839626467565,1.62194964256253,-3.92389162019666,0.568352041871686
GSE84727_3998634048_R02C02,-1.45599566855262,1.69392148847342,-3.98107110721468,0.64496738229989
GSE80417_9980092131_R06C01,-1.94174731771203,1.49193607544192,-4.04586505108814,0.851113841147835
GSE84727_101103430153_R02C02,-1.82488284020229,1.40751247606262,-3.89638885288811,0.0101511589057751
GSE147221_200397540051_R02C02,-1.29977004487043,1.48150585103341,-3.94058187310574,0.825492206668377
GSE80417_9829119189_R01C01,-0.482634299838589,1.59780933275963,-4.03490470483321,0.740254084981523
GSE147221_200049730046_R04C02,-1.79148167985421,1.46773905112037,-3.94560682060086,0.703830416028979
GSE80417_9741779024_R05C01,-1.01780524746667,2.13138048582883,-4.31916839844448,0.770953288686328
GSE84727_3998568018_R02C01,-1.54660881321914,0.844339605017002,-3.95959515204423,0.670251095935419
GSE80417_9980092055_R06C01,-1.60076054183961,0.93083997155567,-3.9715080521429,0.928159183081064
GSE80417_9980102038_R04C02,-1.71673467666752,1.80250360509646,-3.98170882158465,0.708922483298125
GSE147221_200397540049_R05C01,-2.11437172786324,0.402004410145617,-3.97957734429761,1.11023588275253
GSE84727_3998568009_R03C01,-1.932625147766,0.968139359735909,-4.02083830795845,1.03569083373657
GSE147221_200379120082_R05C01,-1.56303250602901,1.66943348127481,-3.95559263018317,0.981845557798579
GSE80417_9980102021_R05C01,-2.0085246225658,0.535677592276159,-4.07996506124889,1.71853995754267
GSE84727_3998928013_R02C02,-1.82223423601107,1.21159182176406,-4.0635450149057,0.956028405682095
GSE80417_9806233007_R02C02,-2.29101018744437,1.81649627575544,-3.86948787680742,0.836173957427413
GSE84727_3998928130_R02C01,-1.80837047024721,1.63400206410035,-3.87794055679179,0.922532739985427
GSE84727_3998567012_R06C01,-2.07661116462282,1.19375970376999,-3.77476399757027,1.05755022622231
GSE80417_9828653007_R05C02,-2.15518172962135,1.42604495286909,-3.56461150918066,0.955023537958569
GSE152027_3999078092_R05C01,-1.05624793558155,0.76525484296715,-3.93543545340045,0.761813419319384
GSE147221_200090280129_R06C01,-1.39849199356302,1.37527118014414,-3.7787569314046,0.233502188634389
GSE80417_9980092138_R06C02,-1.96285609120506,0.587564912712255,-3.96448666496239,1.37584624520463
GSE147221_200379120112_R03C02,-2.21537612823696,0.72419523795391,-4.09505672143359,1.77129184501786
GSE147221_200090280129_R04C01,-2.00168237892999,0.635000009101287,-3.91703201781197,1.07196920402011
GSE84727_3998568022_R04C02,-1.90501907938815,1.21226892067956,-3.97685308488139,0.0195660805001847
GSE147221_200049730099_R02C01,-2.09153370999271,0.788584631476576,-3.94494865837528,1.45078880123147
GSE84727_101103430155_R05C01,-1.69708320834322,0.89452771168464,-3.86742706123374,1.32233993461841
GSE84727_3998609024_R04C02,-1.89146987245763,0.854145647406698,-4.02162906493056,1.09352721953005
GSE80417_9806233036_R06C02,-1.49963050894821,1.25462123165683,-3.83643058746752,0.897004114935947
GSE147221_200049730086_R03C02,-1.41329686929426,1.86023882984093,-3.98666245248394,0.387777131517227
GSE80417_9969489022_R05C01,-2.24209056051833,0.71944744707665,-4.08626340342007,1.59079458902164
GSE152027_10007688014_R03C02,-2.11511352777053,1.27738102249408,-4.0213816382095,1.08214405061568
GSE84727_3998567074_R02C01,-1.69194292718952,1.13390066507846,-3.7164500222175,0.599104991450476
GSE80417_9980092051_R05C02,-1.86068314555697,1.5968152764187,-3.97474104837147,0.680358594062298
GSE84727_3998567004_R05C01,-1.76953169478401,1.39752821255831,-4.11479996985844,0.907710835622762
GSE147221_200049730105_R03C02,-2.2500194152537,0.881544012645447,-3.88160428700076,1.1658300411412
GSE84727_3998952104_R01C02,-2.09378718730233,0.331405610772877,-4.02585887157855,1.21835462647317
GSE147221_200049730085_R06C01,-1.77163027018494,1.9195661187488,-3.91253765566232,1.18920944545343
GSE84727_100973330068_R06C01,-2.22528532009935,1.16057956587082,-3.95605874874783,1.08039826614541
GSE84727_3998998100_R06C01,-1.66045904090599,0.583748594229041,-3.89109655962249,0.58338439004809
GSE80417_9806233018_R06C02,-2.23515880642508,1.42612620946677,-3.87832095547568,0.384358133759355
GSE147221_200397540049_R06C01,-2.15964941434614,0.357388403494666,-3.99705086906227,0.974602841009971
GSE147221_200049730089_R01C01,-1.76586369234011,2.21716511775632,-3.90245090476938,1.45743121402501
GSE80417_9828653080_R05C01,-1.90640384274413,1.20730811204956,-3.92146540636878,1.34851066854392
GSE80417_9980092131_R01C02,-2.00431446419931,1.77008841113064,-4.04012752768043,0.976673082177302
GSE152027_10003886240_R06C02,-1.34754361295246,0.613490943320441,-3.85913616215364,1.37040269314678
GSE147221_200379120027_R06C02,-1.97888869688395,1.25541889371721,-3.99074550311407,1.44625972551396
GSE84727_3998567027_R06C02,-1.45970406451865,1.27715750685036,-3.93376567564783,0.841212086924303
GSE84727_3998567014_R03C02,-1.4074451938046,1.52880590319692,-3.93029512474575,0.775162610853209
GSE80417_9976861013_R04C02,-1.62048262072408,1.28159351343122,-4.09144054833964,0.929158900440138
GSE147221_200397540086_R02C02,-1.50618907118668,0.594644027510745,-3.98362951556723,0.872138822660237
GSE80417_9980102023_R02C02,-1.99711601744409,1.33854375319693,-3.96483213428587,0.659009154784181
GSE80417_9980102038_R06C02,-1.86217540542129,1.46466621516223,-3.89769960415253,0.941837099434958
GSE84727_3998998038_R04C01,-2.11197773515512,1.33400590590383,-3.79758203595065,1.19583911863136
GSE80417_9980092080_R03C01,-1.95475725510804,0.508174621027085,-4.02810992882328,1.28008769038966
GSE84727_3998567038_R03C01,-2.11028022166331,1.13169023337872,-4.09634022194635,0.961802201237448
GSE147221_200379120027_R02C01,-1.99491834509317,0.63289696867918,-3.98062141367716,1.33345412034391
GSE84727_3998567074_R05C01,-2.3033931819989,0.692071787087603,-4.02125175257544,1.61493382363401
GSE147221_200379120154_R06C01,-1.78793144257384,1.73753550401662,-4.04809194656175,0.474822997869397
GSE147221_200379120058_R03C02,-2.21075802059281,0.94488916802393,-4.03725791128963,1.48547584103393
GSE84727_3999215192_R04C02,-1.58217131435649,1.52923114464737,-3.94641139135687,1.3640307287794
GSE80417_9828653035_R02C01,-1.85884707742056,0.793733099870187,-3.87150352876285,1.20753558938425
GSE84727_101103430075_R05C01,-2.16914817071966,1.70709121316266,-3.86627018226376,0.77000734619013
GSE84727_3998609041_R01C02,-2.03976001625749,0.750472256196408,-3.93576634562335,1.06386177404899
GSE147221_200379120083_R01C02,-1.90618585508385,1.12946153576585,-3.98123553538747,1.33589431586739
GSE147221_200379120083_R02C02,-2.28788712646079,-0.133324495703067,-3.85209944163865,1.0831344915333
GSE84727_101103430151_R04C02,-1.42406706896778,2.0183417488696,-3.96067429281098,0.844621858205364
GSE147221_200049730116_R01C01,-1.76395096358619,1.67195158457985,-3.87681463329648,1.11125213021082
GSE147221_200379120030_R02C02,-1.71985564916262,1.69666155626591,-3.91330395899879,1.26717866505813
GSE80417_9971851054_R03C01,-1.99885804293768,1.43279056184389,-4.01405894577168,1.33229952082321
GSE80417_9741779024_R02C01,-1.87115162805539,1.50070477338043,-4.03043829858566,1.36410970236853
GSE80417_9828653035_R03C02,-2.00335698022803,1.34366689043626,-3.82730248754283,1.10172958497734
GSE147221_3998998121_R01C02,-1.49876075023938,1.96184601693061,-4.00818022562624,0.489963148447121
GSE147221_200379120129_R05C02,-1.33433705610712,2.00366745477321,-3.96112517712143,0.378794998311475
GSE80417_9828653144_R05C02,-1.86220271918135,1.19545464800555,-3.98634121577976,1.43153648565328
GSE80417_9741779024_R04C01,-1.74156082871879,1.07945150770005,-4.04658630978656,1.46961733953008
GSE80417_9878827143_R02C02,-1.64274151565053,0.641852381560794,-4.13334809447572,1.73357787243372
GSE84727_3998928013_R05C01,-1.62619242041704,0.996426919410136,-3.91514160609413,0.827075857103211
GSE84727_3998568012_R05C01,-1.8647662817075,2.11420399373238,-3.94380907009516,0.522286387928762
GSE84727_100973330103_R03C02,-1.90736255426985,2.05855186129321,-3.97756044849177,0.643974358085373
GSE84727_3998952104_R06C02,-2.05762003347925,0.871516335413768,-3.98431039537238,1.50196503055023
GSE147221_200049730105_R01C02,-2.22244748894837,0.739210604169836,-3.88680588942639,0.965418593839045
GSE80417_9828653007_R04C01,-2.40896859007559,1.19472539522336,-3.8109891347667,1.51112451474385
GSE80417_9878827135_R02C02,-1.67725455379938,1.90475594241047,-4.12954903217099,0.795647824259724
GSE147221_200090280120_R04C02,-1.98592531481936,0.658102620054833,-3.92424380712441,1.19876820516541
GSE147221_200049730046_R01C02,-1.50367662854595,1.67552057767299,-3.87742312705606,1.60510288328193
GSE84727_3998928122_R02C01,-1.48818533328663,1.38824767137637,-3.92614743906513,0.404267813426449
GSE84727_3998928042_R06C02,-2.08151912998384,0.229683937003317,-4.1091603878876,1.28478864534031
GSE147221_200379120042_R02C02,-2.05438327096774,1.44664727990634,-3.94637435235404,0.866140011466012
GSE80417_9806233036_R02C02,-1.44510200505607,0.876364520272707,-3.83074895505903,1.19894259185013
GSE152027_3999002021_R01C02,-1.53200894296364,1.22921991676418,-3.8828997200642,0.977574180863845
GSE84727_3998567027_R02C01,-1.41354008232948,1.7251924883479,-4.10063148309697,0.916434759450878
GSE80417_9829119260_R01C02,-1.38626142577407,2.75141871119511,-3.85237308328937,0.645657298045364
GSE147221_200049730099_R06C02,-2.09888648477474,1.07168121254548,-4.04465638891934,1.4516218070364
GSE80417_9806233024_R02C01,-2.06595124531945,1.32255928172537,-3.83978833926158,0.672781311840715
GSE84727_3998567030_R02C02,-1.63946691575684,0.731315355137871,-3.90594058239352,1.29132308612899
GSE147221_200379120053_R03C01,-2.31336779754893,1.12631263251183,-4.02127004398359,1.55535579593074
GSE80417_9806233024_R02C02,-1.41944630902948,1.78569898275873,-3.88609628010126,0.632876358716189
GSE80417_9971851054_R01C02,-1.9470689269324,1.33840269471524,-4.00339756873461,1.1157502925321
GSE80417_9806233073_R01C01,-0.889189522160429,1.50963182505816,-3.94009125928563,0.813959598026958
GSE80417_9829119260_R01C01,-2.1453267223609,0.863279444882146,-3.95078229133861,1.13459056931152
